time/episodes,time/total timesteps,time/fps,rollout/success rate,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
72,6611,5,0.125,1107,91.81944444444444,-6031.765221152778,11460.1716796875,0.001,650.7733764648438,6500
73,6711,5,0.1232876712328767,1124,91.93150684931507,-5971.87389460274,10707.905517578125,0.001,665.6550598144531,6600
74,6811,5,0.12162162162162163,1141,92.04054054054055,-5925.667537621621,7811.793493652343,0.001,668.2683898925782,6700
75,6911,5,0.12,1159,92.14666666666666,-5853.502632719999,9259.206262207032,0.001,679.3356018066406,6800
76,7011,5,0.11842105263157894,1182,92.25,-5838.453423473684,12084.086889648437,0.001,686.7902954101562,6900
77,7027,5,0.12987012987012986,1186,91.25974025974025,-5768.772867896104,9108.797705078125,0.001,671.8477478027344,6920
78,7127,5,0.1282051282051282,1212,91.37179487179488,-5757.638696833333,10887.582971191407,0.001,694.9379638671875,7020
79,7129,5,0.13924050632911392,1214,90.24050632911393,-5685.981242,,,,
80,7229,5,0.1375,1237,90.3625,-5710.4875636375,11406.016162109376,0.001,674.8763244628906,7120
81,7329,5,0.13580246913580246,1264,90.48148148148148,-5652.402561432098,11593.34599609375,0.001,675.0165222167968,7220
82,7335,5,0.14634146341463414,1266,89.45121951219512,-5587.366894585366,,,,
83,7393,5,0.1566265060240964,1274,89.07228915662651,-5584.898548204819,11857.041442871094,0.001,684.7467407226562,7280
84,7493,5,0.15476190476190477,1302,89.20238095238095,-5581.053677464286,10316.023828125,0.001,681.4126892089844,7380
85,7593,5,0.15294117647058825,1330,89.32941176470588,-5607.638175458824,14776.379663085938,0.001,700.2413696289062,7480
86,7693,5,0.1511627906976744,1349,89.45348837209302,-5642.083599662791,10337.176416015625,0.001,702.8478393554688,7580
87,7793,5,0.14942528735632185,1372,89.57471264367815,-5622.367411586208,9654.459191894532,0.001,713.840234375,7680
88,7893,5,0.14772727272727273,1390,89.69318181818181,-5647.185572977273,12665.963549804688,0.001,713.8159973144532,7780
89,7993,5,0.14606741573033707,1408,89.80898876404494,-5593.659964022472,15233.421166992188,0.001,710.2456481933593,7880
90,8093,5,0.14444444444444443,1430,89.92222222222222,-5540.428881822223,11701.220190429687,0.001,719.8145385742188,7980
91,8193,5,0.14285714285714285,1447,90.03296703296704,-5592.251861791209,8289.21834716797,0.001,704.6312072753906,8080
92,8222,5,0.15217391304347827,1452,89.3695652173913,-5535.65226552174,9291.655895996093,0.001,711.1419860839844,8120
93,8322,5,0.15053763440860216,1470,89.48387096774194,-5491.880389419355,17514.109924316406,0.001,710.2800048828125,8220
94,8422,5,0.14893617021276595,1489,89.59574468085107,-5460.552099202128,17824.69953613281,0.001,712.1281188964844,8320
95,8522,5,0.14736842105263157,1510,89.70526315789473,-5418.186684263159,13084.356030273437,0.001,733.507275390625,8420
96,8622,5,0.14583333333333334,1531,89.8125,-5446.69711475,12532.52802734375,0.001,744.7063171386719,8520
97,8626,5,0.15463917525773196,1533,88.9278350515464,-5393.63494672165,,,,
98,8629,5,0.16326530612244897,1534,88.05102040816327,-5338.5707953367355,,,,
99,8729,5,0.16161616161616163,1556,88.17171717171718,-5296.12053540404,15616.007775878907,0.001,735.7124633789062,8620
100,8829,5,0.16,1577,88.29,-5250.48089409,16562.832104492187,0.001,749.2285827636719,8720
101,8929,5,0.16,1595,88.29,-5161.46729904,10544.15389404297,0.001,765.9744140625,8820
102,9029,5,0.16,1622,88.29,-5083.7327192600005,9367.703918457031,0.001,768.6999145507813,8920
103,9129,5,0.16,1647,88.29,-5011.12806104,15516.431176757813,0.001,740.5509460449218,9020
104,9229,5,0.16,1665,88.29,-4922.00609565,12394.5841796875,0.001,760.3917785644531,9120
105,9329,5,0.16,1694,88.29,-4829.20985556,11630.587939453126,0.001,767.0723815917969,9220
106,9429,5,0.16,1715,88.29,-4827.10861923,16375.362329101563,0.001,754.6175903320312,9320
107,9468,5,0.17,1724,87.68,-4724.75137414,13116.324877929688,0.001,764.2024475097656,9360
108,9568,5,0.17,1747,87.68,-4644.995118940001,15984.56884765625,0.001,749.8349426269531,9460
109,9606,5,0.18,1754,87.06,-4540.522162639999,18912.31394042969,0.001,774.9235534667969,9500
110,9706,5,0.18,1775,87.06,-4539.391634249999,15903.051513671875,0.001,786.0889587402344,9600
111,9714,5,0.19,1778,86.14,-4440.083726399999,,,,
112,9731,5,0.2,1781,85.31,-4356.2275554,19673.95460205078,0.001,772.6002685546875,9620
113,9734,5,0.21,1782,84.34,-4251.134637409999,,,,
114,9834,5,0.2,1800,85.3,-4352.13447448,21449.907763671876,0.001,798.2563171386719,9720
115,9934,5,0.2,1823,85.3,-4334.446560369999,14761.134887695312,0.001,804.7774719238281,9820
116,10034,5,0.19,1846,85.93,-4302.14039489,27894.983276367188,0.001,792.3891540527344,9920
117,10134,5,0.19,1867,85.93,-4279.541809719999,21240.76953125,0.001,796.0407836914062,10020
118,10234,5,0.19,1894,85.93,-4213.611233599999,23791.707092285156,0.001,813.518798828125,10120
119,10334,5,0.19,1908,85.93,-4148.493123699999,26225.286010742188,0.001,796.7096740722657,10220
120,10434,5,0.19,1921,85.93,-4139.99543729,19230.500268554686,0.001,802.2795104980469,10320
121,10534,5,0.19,1947,85.93,-4086.44683158,23487.804345703124,0.001,807.7157470703125,10420
122,10556,5,0.2,1953,85.15,-3988.16437176,15495.976977539063,0.001,801.4051635742187,10440
123,10656,5,0.19,1968,85.53,-3981.55391329,18730.144140625,0.001,796.2365783691406,10540
124,10756,5,0.19,1986,85.53,-3882.4806936799996,13961.646215820312,0.001,797.237939453125,10640
125,10856,5,0.19,2002,85.53,-3800.2170083399997,15917.383276367187,0.001,825.4719909667969,10740
126,10956,5,0.19,2019,85.53,-3724.9592353099997,19478.541577148437,0.001,793.4911315917968,10840
127,11056,5,0.19,2039,85.53,-3682.5233620800004,24762.17431640625,0.001,817.7661437988281,10940
128,11156,5,0.19,2058,85.53,-3645.21631093,16085.370922851562,0.001,809.3416015625,11040
129,11256,5,0.19,2079,85.53,-3657.9152898799994,16177.448583984375,0.001,807.4583740234375,11140
130,11356,5,0.18,2094,85.91,-3664.2153608599997,18108.775048828124,0.001,795.5822204589844,11240
