rollout/success rate,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,time/fps,train/critic_loss
0.19,211180,1626,5700,88.34,211316,-423.78887839,1067.9041748046875,0.001,129,27794.179736328126
0.19,211280,1640,5701,88.34,211416,-424.91243867,1096.7939575195312,0.001,128,28939.584521484376
0.2,211340,1649,5702,87.93,211475,-418.76136977000004,1059.0847900390625,0.001,128,32715.7921875
0.2,211440,1663,5703,87.93,211575,-422.60058996,1086.2717163085938,0.001,127,21354.222216796876
0.2,211540,1678,5704,87.93,211675,-423.71141875,1090.8396484375,0.001,126,29904.84248046875
0.2,211600,1685,5705,88.32,211726,-424.70317056,1103.7825073242188,0.001,125,29424.3650390625
0.2,211700,1701,5706,88.32,211826,-427.24858768999997,1076.7774291992187,0.001,124,21435.072509765625
0.2,211800,1715,5707,88.32,211926,-424.8924092,1114.1844482421875,0.001,123,24159.05498046875
0.2,211900,1730,5708,88.32,212026,-419.84173135000003,1124.6650634765624,0.001,122,27142.6658203125
0.19,212000,1743,5709,88.48,212126,-423.8294434900001,1115.7067749023438,0.001,121,28709.174462890624
0.19,212100,1757,5710,88.48,212226,-424.84716454,1118.6676635742188,0.001,120,29287.259814453126
0.19,212200,1772,5711,88.48,212326,-425.75989435,1124.2317138671874,0.001,119,29470.812255859375
0.19,212300,1786,5712,88.48,212426,-425.56655909000006,1128.092822265625,0.001,118,25868.113720703124
0.19,212400,1801,5713,88.48,212526,-426.13717660000003,1117.0409545898438,0.001,118,39493.284375
0.2,212420,1806,5714,87.82,212560,-421.13515865,1145.3260009765625,0.001,117,29411.617529296876
0.2,212520,1819,5715,87.82,212660,-428.46586133999995,1119.8225830078125,0.001,116,23266.39052734375
0.19,212620,1834,5716,88.39,212760,-432.00499526,1133.281640625,0.001,115,23570.7716796875
0.19,212720,1847,5717,88.39,212860,-429.7965183099999,1142.6019653320313,0.001,115,29370.172265625
0.19,212820,1862,5718,88.39,212960,-421.41631297999993,1132.6984252929688,0.001,114,38316.45205078125
0.18,212920,1876,5719,89.36,213060,-423.9443223,1139.947021484375,0.001,113,33351.63510742188
0.18,213020,1889,5720,89.36,213160,-428.16343355000004,1156.8816162109374,0.001,112,37385.62260742187
0.19,213100,1901,5721,89.12,213236,-425.55524883000004,1133.1356201171875,0.001,112,29873.816796875
0.19,213200,1914,5722,89.12,213336,-426.34234304,1147.3838745117187,0.001,111,25071.9412109375
0.19,213300,1929,5723,89.12,213436,-423.54009166000003,1143.8895385742187,0.001,110,38284.88344726562
0.19,213400,1944,5724,89.12,213536,-424.15263463,1146.3159423828124,0.001,109,24680.494091796874
0.19,213500,1960,5725,89.12,213636,-427.1774506100001,1177.6314208984375,0.001,108,31656.585205078125
0.19,213600,1975,5726,89.12,213736,-426.11514747000007,1161.7109741210938,0.001,108,29033.739404296874
0.19,213700,1990,5727,89.12,213836,-429.42522042000013,1162.02373046875,0.001,107,34815.5134765625
0.19,213800,2004,5728,89.12,213936,-430.35773015000007,1171.3330444335938,0.001,106,40175.84453125
0.19,213900,2019,5729,89.12,214036,-427.6974549,1168.5833374023437,0.001,105,33641.71450195312
0.19,214000,2032,5730,89.12,214136,-421.09681449999994,1184.0647338867188,0.001,105,34850.3908203125
0.18,214100,2047,5731,89.83,214236,-426.8073854500001,1168.463134765625,0.001,104,32176.0224609375
0.17,214200,2061,5732,90.77,214336,-430.24020298000005,1184.4559204101563,0.001,103,42651.75190429688
0.17,214300,2074,5733,90.77,214436,-431.14836378,1201.77060546875,0.001,103,35303.37797851562
0.17,214400,2088,5734,90.77,214536,-429.2836071600001,1213.5413818359375,0.001,102,21000.020849609376
0.18,214420,2090,5735,89.86,214545,-418.48871975000003,1217.1989135742188,0.001,102,34606.24443359375
0.18,214520,2105,5736,89.86,214645,-414.8971577200001,1211.8450439453125,0.001,101,38160.1251953125
0.18,214620,2118,5737,89.86,214745,-415.34264196000004,1221.7053344726562,0.001,101,31521.95390625
0.18,214720,2132,5738,89.86,214845,-417.46625574000007,1212.74443359375,0.001,100,39413.63041992187
0.18,214820,2147,5739,89.86,214945,-419.1476534699999,1216.1604858398437,0.001,100,28997.103173828124
0.19,214840,2150,5740,89.06,214965,-416.67157091,1219.3239624023438,0.001,99,31195.77373046875
0.19,214940,2164,5741,89.06,215065,-417.40472223000006,1217.1334228515625,0.001,99,36841.0453125
0.18,215040,2178,5742,89.51,215165,-425.65051384,1232.000244140625,0.001,98,31975.185986328124
0.18,215140,2193,5743,89.51,215265,-429.42344079000003,1239.9107788085937,0.001,98,38445.63081054688
0.18,215240,2207,5744,89.51,215365,-426.43092333,1222.3673217773437,0.001,97,39083.76381835937
0.17,215340,2223,5745,90.17,215465,-433.16736134999996,1261.88857421875,0.001,96,32820.35903320312
0.17,215440,2237,5746,90.17,215565,-433.08137382,1241.6412841796875,0.001,96,37643.66225585937
0.17,215540,2250,5747,90.17,215665,-432.61378298999995,1231.6671630859375,0.001,95,33889.35112304687
0.16,215640,2263,5748,90.83,215765,-441.38525416,1255.7865478515625,0.001,95,40093.95014648438
0.15,215740,2277,5749,91.73,215865,-448.37936971999994,1258.6089477539062,0.001,94,31656.062158203124
0.15,215840,2291,5750,91.73,215965,-447.03405519999995,1260.6672241210938,0.001,94,44133.06806640625
0.15,215940,2305,5751,91.73,216065,-448.13991260999995,1285.6791625976562,0.001,93,29020.408251953126
0.15,216040,2318,5752,91.73,216165,-456.35377857,1262.9429321289062,0.001,93,35143.71494140625
