rollout/success rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
0.44,12086,2261,-224.17102400000007,71.74,447,1012483,6031.798091125488,628.86064453125,1012380,0.001
0.44,12087,2279,-226.61836532,71.74,444,1012583,8619.4796875,629.5336730957031,1012480,0.001
0.45,12088,2281,-223.05260402000005,70.84,443,1012593,,,,
0.46,12089,2297,-233.10417112,70.58,440,1012667,7145.605737304688,625.5181579589844,1012560,0.001
0.46,12090,2300,-232.96120667,70.63,440,1012681,6347.776104736328,632.5761840820312,1012580,0.001
0.46,12091,2318,-235.20269995,70.63,436,1012781,6320.1414047241215,629.6004089355469,1012680,0.001
0.47,12092,2322,-232.73975195,69.88,436,1012806,5972.918408203125,632.9540832519531,1012700,0.001
0.48,12093,2324,-232.45153421000003,68.96,435,1012814,,,,
0.49,12094,2335,-230.66778885000002,68.42,433,1012860,10037.597972106934,628.6342834472656,1012740,0.001
0.5,12095,2344,-224.64728005000003,67.83,432,1012901,5463.575947570801,622.9703674316406,1012800,0.001
0.5,12096,2352,-225.86970879,67.98,430,1012931,3365.5733505249023,632.1645446777344,1012820,0.001
0.49,12097,2368,-234.08428913000003,68.64,427,1013031,11980.426168823242,629.1270080566406,1012920,0.001
0.5,12098,2370,-227.87490254000005,67.71,427,1013038,,,,
0.51,12099,2380,-229.44467597,67.18,425,1013085,5822.002857971192,624.0966735839844,1012980,0.001
0.52,12100,2390,-226.16326764000002,66.61,423,1013128,8267.676943969727,629.5678466796875,1013020,0.001
0.52,12101,2404,-220.55433487,66.61,421,1013228,7567.03743133545,632.1596984863281,1013120,0.001
0.53,12102,2412,-212.88988070999991,65.89,420,1013256,7844.0333450317385,628.9759094238282,1013140,0.001
0.53,12103,2431,-210.28527417999993,65.89,416,1013356,9203.980795288086,626.429931640625,1013240,0.001
0.53,12104,2435,-210.13368477999995,65.99,416,1013373,5587.515580749512,629.5412658691406,1013260,0.001
0.53,12105,2440,-209.70456975999994,65.95,415,1013396,8544.02164001465,630.172802734375,1013280,0.001
0.52,12106,2458,-213.43617564999997,66.89,412,1013496,8919.510919189453,626.7008056640625,1013380,0.001
0.52,12107,2460,-211.85113092999995,66.08,411,1013509,10410.32529296875,628.0647216796875,1013400,0.001
0.52,12108,2471,-210.00078882999995,65.94,410,1013563,7979.328567504883,631.5768432617188,1013460,0.001
0.52,12109,2489,-205.49751864999996,65.94,407,1013663,5814.501684570312,630.7038818359375,1013560,0.001
0.53,12110,2497,-204.06236624000002,65.31,405,1013700,4488.191397094726,628.9308166503906,1013580,0.001
0.54,12111,2506,-199.36345523000003,64.84,404,1013753,6708.861946105957,622.6834289550782,1013640,0.001
0.55,12112,2510,-194.70970805000002,64.03,403,1013772,7995.082917785645,631.1223571777343,1013660,0.001
0.56,12113,2530,-199.83820938000005,64.0,400,1013869,4732.653175354004,633.6095031738281,1013760,0.001
0.56,12114,2550,-193.44595125,64.0,397,1013969,8622.69020690918,630.5968627929688,1013860,0.001
0.57,12115,2553,-191.13702984,63.13,397,1013982,8003.232049560547,624.2662170410156,1013880,0.001
0.58,12116,2558,-182.91502804,62.37,396,1014006,6580.801434326172,628.2468017578125,1013900,0.001
0.58,12117,2578,-185.80754410999998,62.37,393,1014106,9706.7287109375,629.5885437011718,1014000,0.001
0.58,12118,2594,-185.19164546,62.46,390,1014182,4840.777243041992,625.918896484375,1014080,0.001
0.59,12119,2595,-184.11585307,61.51,390,1014187,,,,
0.59,12120,2598,-184.05772456,61.49,390,1014206,5542.087518310547,635.253369140625,1014100,0.001
0.59,12121,2601,-183.98507590999998,61.4,389,1014215,,,,
0.6,12122,2603,-180.40070737999997,60.51,389,1014226,10763.555340576171,625.3958374023438,1014120,0.001
0.61,12123,2608,-174.02040905,59.8,388,1014255,9403.586846923828,627.4197387695312,1014140,0.001
0.61,12124,2613,-168.95722706000004,59.52,388,1014275,11351.556027221679,628.3426330566406,1014160,0.001
0.62,12125,2614,-164.22873484,58.56,387,1014279,,,,
0.61,12126,2630,-170.52220187,59.32,385,1014379,10533.403109741212,618.3875427246094,1014260,0.001
0.6,12127,2648,-173.49756614,60.04,383,1014479,5629.96944732666,627.4668762207032,1014360,0.001
0.59,12128,2664,-174.77169071,60.76,380,1014579,11076.886099243164,625.4531372070312,1014460,0.001
0.59,12129,2684,-176.17358405,60.76,377,1014679,7785.701797485352,626.6216613769532,1014560,0.001
0.59,12130,2687,-171.58412338,60.32,377,1014691,10964.50908203125,623.0289794921875,1014580,0.001
0.6,12131,2691,-170.20260111,59.49,376,1014708,7205.720330810547,628.7189270019531,1014600,0.001
0.59,12132,2706,-172.57524980999997,60.39,375,1014808,7559.838604736328,628.6079345703125,1014700,0.001
0.59,12133,2713,-173.28957093,60.43,374,1014853,9787.474604797364,626.4979431152344,1014740,0.001
0.59,12134,2724,-170.67621105999999,60.13,372,1014906,6878.053695678711,630.1375061035156,1014800,0.001
0.59,12135,2728,-170.78861549,60.23,372,1014920,,,,
0.58,12136,2744,-172.50300399,60.76,369,1015020,8202.456036376952,622.3733825683594,1014900,0.001
0.59,12137,2747,-170.90524666,59.88,369,1015032,6130.780323791504,638.6874145507812,1014920,0.001
0.59,12138,2774,-170.68043479,59.88,365,1015132,9588.240914916993,622.6985168457031,1015020,0.001
0.59,12139,2786,-169.80306801000003,59.88,364,1015232,10101.310386657715,623.9281921386719,1015120,0.001
0.59,12140,2802,-169.35389559000004,59.88,362,1015332,7633.60693359375,622.3700622558594,1015220,0.001
0.59,12141,2818,-165.16264383,59.88,360,1015432,8643.477124023437,623.0548278808594,1015320,0.001
0.58,12142,2836,-167.93375436000002,60.11,358,1015532,9184.122018432618,626.6767456054688,1015420,0.001
0.58,12143,2849,-169.09476561,60.67,356,1015613,11604.472048950196,622.5379699707031,1015500,0.001
0.59,12144,2854,-168.77940161000004,59.9,355,1015636,7916.381715393067,625.05341796875,1015520,0.001
0.59,12145,2866,-168.85928714000002,60.6,354,1015712,7203.8746139526365,623.8437438964844,1015600,0.001
0.6,12146,2868,-166.33118015000002,59.71,354,1015723,6972.722958374024,628.7039428710938,1015620,0.001
0.59,12147,2887,-167.85947348000002,60.04,351,1015823,8471.32290649414,627.2896484375,1015720,0.001
0.6,12148,2890,-167.72991546,59.17,351,1015836,,,,
0.6,12149,2905,-168.60246610999994,59.17,349,1015936,5771.198062133789,629.8803955078125,1015820,0.001
0.59,12150,2917,-173.25981167999996,60.06,348,1016036,10436.131484985352,632.5406433105469,1015920,0.001
0.6,12151,2930,-166.84921661999994,59.85,346,1016115,5882.560804748535,635.9769409179687,1016000,0.001
0.6,12152,2934,-166.71924067999993,59.83,346,1016131,9110.008258056641,628.5278503417969,1016020,0.001
0.59,12153,2951,-169.73792371999997,59.92,344,1016231,4363.176104736328,624.9866638183594,1016120,0.001
0.58,12154,2973,-174.54120549999996,60.85,341,1016331,8760.159692382813,629.573828125,1016220,0.001
0.58,12155,2989,-178.26725846000002,60.85,339,1016431,10304.230332946778,622.1864013671875,1016320,0.001
0.58,12156,2992,-178.20550187,60.96,339,1016445,9307.658180236816,625.4810180664062,1016340,0.001
0.59,12157,2994,-173.39030907,60.07,339,1016456,,,,
0.6,12158,2997,-170.30724766,59.19,339,1016468,8424.343719482422,625.6778442382813,1016360,0.001
0.6,12159,3017,-169.99634958,59.19,336,1016568,8640.501356506347,620.8817810058594,1016460,0.001
0.59,12160,3037,-174.80196313,59.78,334,1016668,8904.836738586426,632.0345947265625,1016560,0.001
0.59,12161,3042,-174.80279578000003,59.9,334,1016692,6320.757699584961,632.4341003417969,1016580,0.001
0.6,12162,3046,-170.08761801000003,59.09,333,1016711,7477.5027877807615,626.3724060058594,1016600,0.001
0.6,12163,3047,-169.24451757,58.56,333,1016714,,,,
0.59,12164,3067,-171.11450613,58.59,331,1016814,9904.44800415039,629.3491455078125,1016700,0.001
0.59,12165,3084,-175.42857874999999,58.59,329,1016914,9279.21890563965,630.54775390625,1016800,0.001
0.6,12166,3088,-168.89737033,57.75,329,1016930,7272.024198913574,621.5641479492188,1016820,0.001
0.61,12167,3090,-165.80999967,56.83,329,1016938,,,,
0.61,12168,3109,-162.89675323,56.83,327,1017038,5632.3709274292,627.9999816894531,1016920,0.001
0.61,12169,3126,-173.38751328,56.83,325,1017138,9997.88681488037,626.8672058105469,1017020,0.001
0.6,12170,3144,-176.23308053,56.98,323,1017238,11227.00643310547,626.4666809082031,1017120,0.001
0.6,12171,3147,-176.99658804000003,57.05,323,1017249,10066.316293334961,630.9727722167969,1017140,0.001
0.6,12172,3150,-177.15838544000002,56.83,322,1017260,,,,
0.6,12173,3153,-176.01953282000002,56.44,322,1017274,6470.597843933106,633.5137023925781,1017160,0.001
0.6,12174,3162,-176.75459208,56.76,321,1017314,9273.357925415039,623.4301452636719,1017200,0.001
0.61,12175,3174,-179.00271190000004,56.26,320,1017364,6869.784425354004,635.9157470703125,1017260,0.001
0.6,12176,3188,-182.13746658,56.84,319,1017464,7315.536714172364,629.2956726074219,1017360,0.001
0.6,12177,3194,-182.15415786000003,56.93,318,1017497,7063.149203491211,630.9277282714844,1017380,0.001
0.61,12178,3200,-180.39734796999997,56.25,317,1017529,6490.582354736328,625.2116027832031,1017420,0.001
