rollout/success rate,time/total timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
0.28,805988,9151,78.54,-292.54700304,835,965,785.4785034179688,8032.887324523926,0.001,805880
0.27,806088,9152,79.47,-301.27554025,822,979,781.7367797851563,13612.775827026368,0.001,805980
0.27,806188,9153,79.47,-300.35454401000004,810,994,781.706689453125,8725.059924316407,0.001,806080
0.27,806193,9154,79.35,-300.70604931,809,996,,,,
0.26,806293,9155,79.5,-302.25456582000004,796,1012,775.3037048339844,11642.474340820312,0.001,806180
0.26,806393,9156,79.5,-306.80971152,782,1030,777.7100524902344,10802.42073059082,0.001,806280
0.25,806493,9157,80.19,-309.83180259000005,770,1047,784.3471984863281,8679.616896057129,0.001,806380
0.25,806593,9158,80.19,-310.29776332,756,1066,780.5197570800781,9916.729782104492,0.001,806480
0.25,806693,9159,80.19,-314.99582935,744,1083,771.5855102539062,11894.396978759765,0.001,806580
0.25,806793,9160,80.19,-314.29232329,734,1097,774.9428039550781,12835.161933898926,0.001,806680
0.26,806824,9161,79.5,-306.62036615,731,1103,770.8924987792968,9116.439462280274,0.001,806720
0.27,806830,9162,78.56,-301.17764192000004,730,1105,,,,
0.28,806894,9163,78.2,-296.89528281,723,1115,782.5310485839843,10712.323309326172,0.001,806780
0.28,806994,9164,78.2,-295.56858273000006,713,1130,776.7334106445312,8436.665815734863,0.001,806880
0.28,807094,9165,78.2,-291.59589742000003,705,1144,781.9349914550781,9661.821598815917,0.001,806980
0.29,807153,9166,77.79,-289.32506607000005,699,1153,771.1970092773438,7576.5660949707035,0.001,807040
0.29,807253,9167,77.79,-289.65857498,689,1170,777.2795593261719,12720.25512084961,0.001,807140
0.29,807353,9168,77.79,-289.55848896000003,680,1186,780.1191711425781,13334.528784179687,0.001,807240
0.28,807453,9169,78.67,-293.06484722,671,1202,769.3354614257812,11418.850476074218,0.001,807340
0.28,807484,9170,78.94,-293.44372824000004,668,1207,771.1857727050781,13836.832049560548,0.001,807380
0.28,807584,9171,78.94,-293.85526035,660,1223,777.8070251464844,13557.814163208008,0.001,807480
0.28,807684,9172,78.94,-294.49227332,650,1240,778.0355712890625,7663.944613647461,0.001,807580
0.27,807784,9173,79.84,-299.73881628,643,1255,775.7373046875,8061.241558837891,0.001,807680
0.28,807792,9174,78.92,-294.9372193,642,1257,,,,
0.28,807892,9175,78.92,-292.05734029,635,1272,771.2834533691406,10163.644906616211,0.001,807780
0.27,807992,9176,79.75,-297.15793967,627,1286,775.2819702148438,12807.016317749023,0.001,807880
0.27,808092,9177,79.75,-300.02918260999996,620,1302,774.5776733398437,10706.767358398438,0.001,807980
0.27,808126,9178,79.98,-300.54344852,616,1310,770.9435607910157,8209.108474731445,0.001,808020
0.27,808226,9179,79.98,-303.23989764000004,610,1323,787.269775390625,7325.244108581543,0.001,808120
0.27,808326,9180,79.98,-300.47515321000003,603,1340,784.1885131835937,7625.397288513183,0.001,808220
0.27,808426,9181,79.98,-301.73562227,596,1356,772.8074890136719,12345.47345275879,0.001,808320
0.28,808475,9182,79.47,-300.21340762000005,592,1364,767.6535461425781,12941.345288085937,0.001,808360
0.29,808553,9183,79.25,-301.11858148000005,585,1379,781.632373046875,12576.333735656739,0.001,808440
0.3,808555,9184,78.27,-298.32803319000004,585,1381,,,,
0.29,808655,9185,78.8,-298.49466000000007,577,1400,775.7287780761719,10113.579125976563,0.001,808540
0.3,808687,9186,78.12,-291.82894092000004,574,1406,776.3738342285156,10865.061558532714,0.001,808580
0.29,808787,9187,79.0,-295.06047468,566,1426,775.996240234375,5434.501281738281,0.001,808680
0.29,808887,9188,79.0,-304.54765707,561,1440,771.7207336425781,11323.090322875976,0.001,808780
0.29,808987,9189,79.0,-300.03247103999996,555,1456,778.9736877441406,5060.11572265625,0.001,808880
0.29,809087,9190,79.0,-304.07971208,550,1471,772.0697143554687,8940.880577087402,0.001,808980
0.29,809165,9191,79.21,-302.95455368,544,1485,773.81015625,8220.348281860352,0.001,809060
0.3,809168,9192,78.24,-299.14039935999995,544,1486,,,,
0.3,809268,9193,78.24,-298.83165101,539,1499,766.5310791015625,14291.26563873291,0.001,809160
0.3,809368,9194,78.24,-293.87709608,533,1517,765.47978515625,7998.363558959961,0.001,809260
0.3,809468,9195,78.24,-292.91233704999996,528,1530,772.3234985351562,11332.58226776123,0.001,809360
0.3,809568,9196,78.24,-289.79267382,524,1544,770.8083251953125,10571.66814880371,0.001,809460
0.31,809589,9197,77.45,-286.36095376000003,522,1548,765.6884887695312,7938.724295043945,0.001,809480
0.32,809639,9198,76.95,-284.42866101000004,519,1559,768.4899841308594,9732.762211608886,0.001,809520
0.32,809686,9199,77.29,-283.7637464500001,516,1568,765.2960754394531,15366.203732299804,0.001,809580
0.32,809786,9200,77.29,-283.06403868,512,1581,766.2888671875,7874.5564041137695,0.001,809680
0.32,809886,9201,77.29,-287.05629656,506,1597,774.3661682128907,9297.596253967286,0.001,809780
0.32,809964,9202,77.93,-288.65201665000006,501,1613,770.0759826660156,8672.282057189941,0.001,809860
0.32,809998,9203,78.18,-287.95817998999996,499,1620,770.7277648925781,9674.501736450195,0.001,809880
0.32,810098,9204,78.18,-285.57670481,495,1634,770.4947265625,3965.5881530761717,0.001,809980
0.32,810114,9205,78.31,-285.49970527,494,1637,770.0479675292969,11395.299130249023,0.001,810000
0.32,810139,9206,78.2,-286.01722859,492,1644,773.58095703125,10060.211102294921,0.001,810020
0.31,810239,9207,78.69,-287.29993886,488,1657,770.7295349121093,6889.011428833008,0.001,810120
0.3,810339,9208,79.63,-291.25923932,484,1673,767.9880676269531,9678.057015991211,0.001,810220
0.31,810345,9209,78.69,-289.59419609,483,1675,763.5326049804687,9507.583518981934,0.001,810240
0.31,810445,9210,78.69,-288.53868742,479,1690,771.6501831054687,7641.765296936035,0.001,810340
0.3,810545,9211,79.02,-289.98920146,474,1707,765.70185546875,12153.46557006836,0.001,810440
0.31,810620,9212,78.77,-291.3241408400001,471,1718,770.5580261230468,10071.901461791993,0.001,810500
0.31,810720,9213,78.77,-288.2417998400001,467,1734,769.1035217285156,16334.68489074707,0.001,810600
0.31,810820,9214,78.77,-286.9539571800001,462,1753,757.0203369140625,9280.195330810548,0.001,810700
0.32,810827,9215,77.84,-283.63505809000003,461,1755,760.8121826171875,10339.38819732666,0.001,810720
0.32,810927,9216,77.84,-278.97537033000003,458,1770,773.6819091796875,7515.896566772461,0.001,810820
0.33,810947,9217,77.04,-276.32722639,457,1774,763.0157470703125,10323.947354125976,0.001,810840
0.33,811039,9218,77.62,-276.12115854,453,1790,773.3955627441406,6748.687561035156,0.001,810920
0.33,811139,9219,77.62,-278.42083089,448,1808,774.2798767089844,8541.724444580079,0.001,811020
0.33,811239,9220,77.62,-279.71606389,443,1828,774.2690368652344,6439.199267578125,0.001,811120
0.32,811339,9221,78.47,-281.61915256,439,1847,767.8492309570313,10703.110636901856,0.001,811220
0.32,811439,9222,78.47,-283.8624855,435,1861,760.1736022949219,10647.727850341797,0.001,811320
0.32,811539,9223,78.47,-282.16525315,431,1879,770.191748046875,9170.782652282714,0.001,811420
