time/fps,time/episodes,time/time_elapsed,train/actor_loss,rollout/success rate,train/n_updates,time/total timesteps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
423,4319,957,866.0202270507813,0.16,405220,405335,9585.54002685547,0.001,-426.31742755000005,91.63
421,4320,961,862.8610961914062,0.17,405240,405350,7380.965371704102,0.001,-421.7266263000001,90.78
415,4321,975,859.1049438476563,0.17,405340,405450,11588.229638671875,0.001,-418.73841211,90.78
409,4322,991,861.5999267578125,0.17,405440,405550,6248.538296508789,0.001,-417.27015289,90.78
400,4323,1012,845.977197265625,0.17,405540,405650,13598.548919677734,0.001,-414.04794561,90.78
394,4324,1029,848.1635925292969,0.17,405640,405750,10778.24708251953,0.001,-415.28089763,90.78
388,4325,1043,850.6997924804688,0.17,405740,405850,8428.812664794921,0.001,-413.7847622500001,90.78
383,4326,1058,856.9252136230468,0.17,405840,405950,5872.977536010742,0.001,-413.91745050000003,90.78
377,4327,1074,862.1830017089844,0.17,405940,406050,11154.670904541015,0.001,-413.4558404,90.78
371,4328,1092,861.5866333007813,0.17,406040,406150,8221.614840698243,0.001,-408.9956474400001,90.78
366,4329,1107,854.3012023925781,0.17,406140,406250,7152.6326171875,0.001,-400.5852256200001,90.78
361,4330,1124,855.7608520507813,0.17,406240,406350,8418.945559692384,0.001,-398.81146846,90.78
356,4331,1140,855.1315979003906,0.17,406340,406450,11094.73137512207,0.001,-401.21640706,90.78
351,4332,1157,864.0993286132813,0.17,406440,406550,11224.403009033203,0.001,-400.8570076,90.78
348,4333,1165,860.5805847167969,0.18,406480,406587,13137.441799926757,0.001,-392.92172608,90.15
344,4334,1181,847.0612487792969,0.18,406580,406687,9845.190621948243,0.001,-394.02865276000006,90.15
339,4335,1198,855.172802734375,0.17,406680,406787,8606.171377563476,0.001,-396.40391051,90.94
333,4336,1218,854.2564636230469,0.17,406780,406887,7695.337770080567,0.001,-396.20472495,90.94
332,4337,1224,855.8911560058593,0.18,406800,406915,5648.043930053711,0.001,-391.5219911300001,90.22
327,4338,1241,858.241943359375,0.18,406900,407015,13042.628356933594,0.001,-386.09901001000003,90.22
322,4339,1264,850.9766052246093,0.18,407000,407115,4725.620669555664,0.001,-389.2624157100001,90.22
316,4340,1285,854.093701171875,0.18,407100,407215,12677.249337768555,0.001,-387.41343442,90.22
312,4341,1302,855.0348510742188,0.18,407200,407315,14038.102282714844,0.001,-388.0226487,90.22
308,4342,1321,856.2049926757812,0.17,407300,407415,14213.287271118164,0.001,-389.1219259,90.97
304,4343,1336,857.2242614746094,0.17,407400,407515,5141.306787109375,0.001,-392.18482192000005,90.97
301,4344,1352,852.1796936035156,0.17,407500,407615,7820.465921020508,0.001,-392.22180305999996,90.97
298,4345,1367,863.4237731933594,0.17,407600,407715,9075.768139648437,0.001,-391.23302207999996,90.97
294,4346,1385,857.4704406738281,0.17,407700,407815,9391.64275817871,0.001,-392.98945732,90.97
291,4347,1401,853.7410827636719,0.17,407800,407915,11187.003729248047,0.001,-393.9498385299999,90.97
287,4348,1418,859.96806640625,0.17,407900,408015,5119.62434539795,0.001,-367.26502263999987,90.97
284,4349,1436,859.3149719238281,0.17,408000,408115,6372.483312988281,0.001,-368.3141395799999,90.97
282,4350,1442,854.6302978515625,0.18,408040,408142,9570.498910522461,0.001,-366.20864016999985,90.24
282,4351,1444,,0.19,,408156,,,-360.16269596,89.38
278,4352,1463,855.4544494628906,0.19,408140,408256,12198.555645751952,0.001,-364.32928273000005,89.38
277,4353,1470,866.3925415039063,0.19,408180,408289,5767.293313598633,0.001,-365.57940589000003,89.58
274,4354,1486,852.6542663574219,0.19,408280,408389,8945.38851623535,0.001,-367.47152936000003,89.58
271,4355,1503,862.7008850097657,0.19,408380,408489,8365.176458740234,0.001,-366.65640711,89.58
271,4356,1507,849.7012390136719,0.2,408400,408509,16492.879681396484,0.001,-361.59901015,88.78
268,4357,1524,848.3571655273438,0.2,408500,408609,6476.9388427734375,0.001,-364.16102006,88.78
265,4358,1540,839.0774230957031,0.2,408600,408709,10692.130392456054,0.001,-366.5002804799999,88.78
262,4359,1557,860.7810607910156,0.2,408700,408809,6790.539236450195,0.001,-365.27707516000004,88.78
259,4360,1573,852.7848999023438,0.19,408800,408909,11561.758911132812,0.001,-367.7287619499999,89.09
256,4361,1592,845.4505737304687,0.19,408900,409009,11201.61766357422,0.001,-366.55077105,89.09
255,4362,1602,851.6717895507812,0.2,408960,409061,9603.99666748047,0.001,-361.81884526999994,88.61
252,4363,1619,852.5953125,0.2,409060,409161,6489.831829833985,0.001,-360.18874621,88.61
250,4364,1634,846.4310546875,0.2,409160,409261,9278.22192993164,0.001,-357.9557936999999,88.61
247,4365,1654,846.9307495117188,0.2,409260,409361,9266.039324951173,0.001,-358.4910671099999,88.61
244,4366,1672,853.9708435058594,0.19,409360,409461,9693.065423583985,0.001,-364.9479066499999,89.19
242,4367,1688,849.8540893554688,0.18,409460,409561,8908.685229492188,0.001,-370.2615049,89.94
240,4368,1704,851.7805603027343,0.18,409560,409661,8316.835369873046,0.001,-368.98610307999996,89.94
237,4369,1721,858.4893981933594,0.18,409660,409761,7794.038684082031,0.001,-368.14140979,89.94
237,4370,1723,,0.19,,409769,,,-363.41518684999994,89.02
235,4371,1741,848.5457763671875,0.19,409760,409869,13598.032180786133,0.001,-365.14551207000005,89.02
