time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,time/total timesteps,train/n_updates,rollout/success rate,time/fps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean
5534,7455.188818359375,0.001,741458.523828125,321000,220980,0.0,58,3212,-6752.57634874,100.0
5568,7460.858251953125,0.001,974502.575,321100,221080,0.0,57,3213,-6814.18300403,100.0
5601,7516.18564453125,0.001,722155.621484375,321200,221180,0.0,57,3214,-6764.98389741,100.0
5621,7488.009130859375,0.001,1114199.91875,321300,221280,0.0,57,3215,-6727.392686980002,100.0
5652,7421.65400390625,0.001,906746.761328125,321400,221380,0.0,56,3216,-6728.765963740001,100.0
5672,7423.87001953125,0.001,713586.02890625,321500,221480,0.0,56,3217,-6717.915251820002,100.0
5695,7474.327099609375,0.001,658210.411328125,321600,221580,0.0,56,3218,-6692.1968364700015,100.0
5717,7618.492333984375,0.001,1210553.3984375,321700,221680,0.0,56,3219,-6698.39509984,100.0
5740,7541.6052734375,0.001,921104.6,321800,221780,0.0,56,3220,-6665.06650484,100.0
5769,7397.12626953125,0.001,990755.462109375,321900,221880,0.0,55,3221,-6702.95437422,100.0
5793,7467.383251953125,0.001,874474.26015625,322000,221980,0.0,55,3222,-6712.153672670001,100.0
5813,7476.255078125,0.001,961219.7875,322100,222080,0.0,55,3223,-6660.0730464,100.0
5848,7393.968701171875,0.001,1050680.33046875,322200,222180,0.0,55,3224,-6672.1379645100005,100.0
5868,7538.23828125,0.001,1076187.778125,322300,222280,0.0,54,3225,-6625.83754875,100.0
5887,7336.118701171875,0.001,867745.11875,322400,222380,0.0,54,3226,-6550.12161576,100.0
5916,7523.637890625,0.001,1289354.8734375,322500,222480,0.0,54,3227,-6527.99254461,100.0
5933,7374.0056640625,0.001,1143083.8328125,322600,222580,0.0,54,3228,-6454.81077965,100.0
5961,7431.95908203125,0.001,1103221.56484375,322700,222680,0.0,54,3229,-6350.06727238,100.0
5982,7570.24794921875,0.001,567794.77109375,322800,222780,0.0,53,3230,-6387.28585371,100.0
5999,7508.7724609375,0.001,1101982.159375,322900,222880,0.0,53,3231,-6353.149225040001,100.0
6023,7501.192041015625,0.001,794253.011328125,323000,222980,0.0,53,3232,-6309.25392677,100.0
6039,7450.676025390625,0.001,682282.83359375,323100,223080,0.0,53,3233,-6305.94750638,100.0
6064,7447.246240234375,0.001,1090076.19296875,323200,223180,0.0,53,3234,-6297.210489239998,100.0
6082,7474.77958984375,0.001,1187345.3265625,323300,223280,0.0,53,3235,-6320.045298829998,100.0
6105,7532.93349609375,0.001,1016145.06171875,323400,223380,0.0,52,3236,-6266.754978699999,100.0
6132,7465.39873046875,0.001,932928.52265625,323500,223480,0.0,52,3237,-6259.522204799999,100.0
6162,7412.571875,0.001,832321.48125,323600,223580,0.0,52,3238,-6236.128249370001,100.0
6179,7476.9712890625,0.001,1012386.038671875,323700,223680,0.0,52,3239,-6226.765889890001,100.0
