time/total timesteps,train/n_updates,rollout/success rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,rollout/ep_len_mean
605520,505500,0.02,536,-4515.05636352,1129,6061,512582.9423828125,0.001,5630.6501953125,99.2
605620,505600,0.02,526,-4535.25706656,1151,6062,517580.190625,0.001,5656.33818359375,99.2
605720,505700,0.02,516,-4594.06550686,1173,6063,488256.5609375,0.001,5667.288037109375,99.2
605820,505800,0.02,507,-4604.94661957,1194,6064,559384.0078125,0.001,5573.0619140625,99.2
605920,505900,0.02,501,-4559.95836393,1209,6065,703254.4318359375,0.001,5488.09189453125,99.2
606020,506000,0.02,493,-4508.739973770001,1228,6066,565634.3546875,0.001,5644.468115234375,99.2
606120,506100,0.02,486,-4512.32762728,1247,6067,679287.450390625,0.001,5687.349072265625,99.2
606220,506200,0.02,475,-4543.196131000001,1274,6068,573335.2243164063,0.001,5630.878271484375,99.2
606320,506300,0.02,466,-4553.31680614,1299,6069,702204.173828125,0.001,5621.15927734375,99.2
606420,506400,0.02,460,-4478.322679690001,1317,6070,527438.9431640625,0.001,5572.69921875,99.2
606520,506500,0.02,452,-4488.85876548,1340,6071,350193.8921875,0.001,5695.370849609375,99.2
606620,506600,0.02,446,-4459.43759772,1358,6072,282613.8021484375,0.001,5680.332861328125,99.2
606720,506700,0.02,439,-4430.40092863,1379,6073,556339.341015625,0.001,5681.991796875,99.2
606820,506800,0.02,434,-4476.070079600001,1397,6074,660942.874609375,0.001,5590.57109375,99.2
606920,506900,0.02,428,-4377.43519542,1415,6075,511988.7923828125,0.001,5674.349462890625,99.2
607020,507000,0.02,424,-4396.01619165,1429,6076,613368.6916015625,0.001,5587.0888671875,99.2
607120,507100,0.02,420,-4413.59888547,1445,6077,652732.0025390625,0.001,5671.503271484375,99.2
607220,507200,0.02,416,-4465.420753889999,1458,6078,412710.3810546875,0.001,5644.9279296875,99.2
607320,507300,0.02,411,-4456.065334319999,1475,6079,484435.40625,0.001,5584.924169921875,99.2
607420,507400,0.02,405,-4465.67935359,1496,6080,457355.9373046875,0.001,5594.269482421875,99.2
607520,507500,0.02,399,-4476.93728864,1518,6081,748142.1390625,0.001,5576.377685546875,99.2
607620,507600,0.02,395,-4511.44007612,1535,6082,417775.5845703125,0.001,5641.154296875,99.2
607720,507700,0.02,391,-4503.35391611,1551,6083,579671.93984375,0.001,5561.198486328125,99.2
607820,507800,0.02,386,-4561.23550262,1572,6084,663764.2828125,0.001,5586.5728515625,99.2
607920,507900,0.02,381,-4545.00292517,1591,6085,527662.9896484375,0.001,5651.926123046875,99.2
608020,508000,0.02,376,-4517.337610109999,1612,6086,370825.9533203125,0.001,5675.6068359375,99.2
608120,508100,0.02,372,-4555.678495889999,1633,6087,531436.8501953125,0.001,5674.62744140625,99.2
608220,508200,0.02,368,-4494.64974964,1652,6088,615416.113671875,0.001,5626.6826171875,99.2
608320,508300,0.02,363,-4503.39870423,1673,6089,464768.8189453125,0.001,5620.835693359375,99.2
608420,508400,0.02,360,-4527.044199879999,1687,6090,658999.6634765625,0.001,5641.626953125,99.2
608520,508500,0.02,355,-4455.07806561,1712,6091,483794.40859375,0.001,5616.62294921875,99.2
608620,508600,0.02,350,-4460.4332911,1735,6092,487291.1375,0.001,5558.040234375,99.2
608720,508700,0.02,346,-4397.215016180001,1757,6093,589381.0373046875,0.001,5573.488525390625,99.2
608820,508800,0.02,343,-4384.425296,1772,6094,600641.600390625,0.001,5590.6013671875,99.2
608920,508900,0.02,339,-4395.507023890001,1794,6095,534263.0970703125,0.001,5595.185888671875,99.2
609020,509000,0.02,334,-4393.6300144100005,1820,6096,618299.4244140625,0.001,5579.1609375,99.2
609120,509100,0.02,332,-4382.3651293,1834,6097,417973.61640625,0.001,5637.458740234375,99.2
609220,509200,0.02,328,-4390.41931663,1854,6098,351193.0037109375,0.001,5585.177392578125,99.2
609320,509300,0.02,325,-4383.049570900001,1870,6099,784957.9681640625,0.001,5585.202880859375,99.2
609420,509400,0.02,322,-4309.66605771,1888,6100,706183.6546875,0.001,5564.02705078125,99.2
609520,509500,0.02,319,-4356.535008060001,1905,6101,433988.983203125,0.001,5576.870849609375,99.2
609620,509600,0.02,317,-4352.42623697,1920,6102,549043.7552734375,0.001,5595.35166015625,99.2
609720,509700,0.02,314,-4331.77483911,1941,6103,454445.2421875,0.001,5644.676953125,99.2
