train/learning_rate,train/critic_loss,rollout/success rate,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total timesteps,rollout/ep_len_mean
0.001,10051.569577026366,0.34,6738,695.8873291015625,606060,-255.17120970000005,563,1074,606170,77.31
0.001,7609.101647949219,0.34,6739,694.4364868164063,606160,-255.29586780000002,556,1089,606270,77.31
0.001,9239.957708740234,0.35,6740,694.1307067871094,606180,-251.88876524000003,555,1091,606282,76.43
0.001,5083.133235168457,0.35,6741,700.9375183105469,606280,-246.5364172,547,1106,606382,76.43
0.001,5691.399765014648,0.36,6742,703.0233947753907,606360,-243.96316724999997,539,1124,606476,76.37
0.001,7620.949815368653,0.36,6743,694.0356018066407,606460,-239.63163015,532,1138,606576,76.37
0.001,8962.979750061035,0.37,6744,689.7476013183593,606560,-237.39482975,526,1151,606668,76.29
0.001,6733.577740478516,0.37,6745,696.6990051269531,606660,-232.74759288999996,519,1167,606768,76.29
0.001,8421.483047485352,0.37,6746,693.5701416015625,606760,-230.91383338000003,512,1183,606868,76.29
0.001,6862.343026733399,0.36,6747,691.4894592285157,606860,-231.77202063000001,506,1197,606968,76.49
0.001,9035.48289642334,0.35,6748,701.0091125488282,606960,-234.28696608,500,1213,607068,77.32
0.001,7515.468307495117,0.35,6749,698.6739013671875,607060,-232.37802227000003,494,1228,607168,77.32
0.001,6851.350149536132,0.35,6750,693.068994140625,607160,-231.29528789000003,488,1243,607268,77.32
0.001,6053.107601928711,0.34,6751,699.6047302246094,607260,-233.77909701000004,480,1264,607368,78.12
0.001,6406.88431854248,0.34,6752,705.5447021484375,607360,-231.69494763000003,475,1277,607468,78.12
0.001,11291.015618896485,0.33,6753,695.1371887207031,607460,-238.08353807,469,1294,607568,79.04
0.001,5473.957989501953,0.33,6754,702.7637878417969,607560,-240.0688548,463,1310,607668,79.04
0.001,8751.272860717774,0.32,6755,692.4107604980469,607660,-244.40809123000003,456,1330,607768,79.98
,,0.33,6756,,,-243.16267952000007,456,1332,607775,79.05
0.001,8067.343811035156,0.32,6757,694.9375305175781,607760,-246.31748566000002,451,1347,607875,79.84
0.001,9092.300909423828,0.32,6758,697.4328002929688,607860,-246.22294758,445,1364,607975,79.84
0.001,9124.65366821289,0.31,6759,687.532275390625,607960,-249.91745077,439,1384,608075,80.75
0.001,9700.698027038574,0.3,6760,698.0536804199219,608060,-253.37206353999997,433,1402,608175,80.9
0.001,6838.349526977539,0.29,6761,704.5251037597657,608160,-256.52362001,428,1420,608275,81.24
0.001,7711.934510803223,0.29,6762,701.221630859375,608180,-256.98877747,426,1425,608299,81.43
0.001,6605.962435913086,0.28,6763,696.4998840332031,608280,-260.85762085,421,1442,608399,81.93
0.001,8639.984399414063,0.28,6764,701.7135131835937,608320,-261.28535507,420,1447,608427,81.99
0.001,6442.240835571289,0.27,6765,693.3213073730469,608420,-264.9036156099999,416,1462,608527,82.7
0.001,6043.467620849609,0.27,6766,695.3446411132812,608520,-271.68013356999995,412,1476,608627,82.7
0.001,10324.978482055663,0.26,6767,686.8534362792968,608620,-275.34704308,407,1494,608727,83.57
